"","Date","Open","High","Low","Close","Volume"
"1","1789-12-31",0.51,0.51,0.5,0.5,NA
"2","1790-12-31",0.5,0.57,0.49,0.57,NA
"3","1791-12-30",0.57,0.63,0.57,0.63,NA
"4","1792-12-31",0.63,0.64,0.52,0.54,NA
"5","1793-12-31",0.54,0.62,0.54,0.62,NA
"6","1794-12-31",0.62,0.76,0.62,0.76,NA
"7","1795-12-31",0.76,0.78,0.73,0.73,NA
"8","1796-12-30",0.73,0.73,0.63,0.63,NA
"9","1797-12-29",0.63,0.63,0.58,0.58,NA
"10","1798-12-31",0.58,0.7,0.57,0.69,NA
"11","1799-12-31",0.69,0.79,0.69,0.79,NA
"12","1800-12-31",0.79,1.03,0.76,1,NA
"13","1801-12-31",1,1,0.63,0.63,NA
"14","1802-12-31",0.63,0.65,0.59,0.65,NA
"15","1803-12-30",0.65,0.75,0.65,0.75,NA
"16","1804-12-31",0.76,1.11,0.76,1.11,NA
"17","1805-12-31",1.11,1.14,1.06,1.1,NA
"18","1806-12-31",1.1,1.31,1.1,1.2,NA
"19","1807-12-31",1.2,1.2,0.65,0.65,NA
"20","1808-12-30",0.64,0.94,0.64,0.9,NA
"21","1809-12-29",0.91,1.19,0.91,1.19,NA
"22","1810-12-31",1.19,1.2,1.01,1.02,NA
"23","1811-12-31",1.02,1.08,0.93,0.93,NA
"24","1812-12-31",0.98,0.98,0.8,0.8,NA
"25","1813-12-31",0.8,0.89,0.78,0.89,NA
"26","1814-12-30",0.9,1.48,0.9,1.48,NA
"27","1815-12-29",1.53,1.57,1.44,1.56,NA
"28","1816-12-31",1.56,1.56,1.49,1.5,NA
"29","1817-12-31",1.5,1.7,1.47,1.7,NA
"30","1818-12-31",1.71,1.89,1.71,1.89,NA
"31","1819-12-31",1.89,1.91,1.75,1.75,NA
"32","1820-12-29",1.75,1.93,1.68,1.93,NA
"33","1821-12-31",1.94,2.1,1.94,2.09,NA
"34","1822-12-31",2.09,2.09,1.98,2,NA
"35","1823-12-31",2.01,2.12,1.98,2.12,NA
"36","1824-12-31",2.12,2.49,2.12,2.37,NA
"37","1825-12-30",2.37,2.37,2.08,2.08,NA
"38","1826-12-29",2.08,2.09,1.99,1.99,NA
"39","1827-12-31",1.98,2.11,1.97,2.05,NA
"40","1828-12-31",2.04,2.13,1.88,1.9,NA
"41","1829-12-31",1.9,2.12,1.88,2.1,NA
"42","1830-12-31",2.1,2.5,2.05,2.41,NA
"43","1831-12-30",2.4,2.49,2.06,2.09,NA
"44","1832-12-31",2.09,2.62,2.09,2.62,NA
"45","1833-12-31",2.96,3.12,2.62,2.7,NA
"46","1834-12-31",2.66,3.17,2.36,3.04,NA
"47","1835-12-31",3.05,4.04,2.87,3.62,NA
"48","1836-12-30",3.6,3.76,2.52,2.74,NA
"49","1837-12-29",2.72,2.92,1.97,2.23,NA
"50","1838-12-31",2.22,2.38,1.89,2.17,NA
"51","1839-12-31",2.17,2.26,1.66,1.66,NA
"52","1840-12-31",1.64,1.74,1.51,1.74,NA
"53","1841-12-31",1.75,1.84,1.3,1.34,NA
"54","1842-12-30",1.31,1.37,1.01,1.16,NA
"55","1843-12-29",1.16,1.75,1.1,1.75,NA
"56","1844-12-31",1.77,2.45,1.77,2.16,NA
"57","1845-12-31",2.28,2.29,2.11,2.23,NA
"58","1846-12-31",2.24,2.41,2.24,2.33,NA
"59","1847-12-31",2.34,2.79,2.34,2.51,NA
"60","1848-12-29",2.5,2.5,2.17,2.21,NA
"61","1849-12-31",2.23,2.53,2.23,2.39,NA
"62","1850-12-31",2.39,3.04,2.39,2.85,NA
"63","1851-12-31",2.85,3.04,2.8,2.85,NA
"64","1852-12-31",2.85,3.63,2.85,3.6,NA
"65","1853-12-30",3.6,3.63,3.07,3.08,NA
"66","1854-12-29",3.08,3.24,2.27,2.36,NA
"67","1855-12-31",2.35,2.6,2.35,2.48,NA
"68","1856-12-31",2.47,2.68,2.39,2.68,NA
"69","1857-12-31",2.68,2.76,1.67,1.67,NA
"70","1858-12-31",1.66,1.96,1.4,1.75,NA
"71","1859-12-30",1.75,1.79,1.52,1.55,NA
"72","1860-12-31",1.56,2.39,1.56,2.11,NA
"73","1861-12-31",2.11,2.15,1.87,2.15,NA
"74","1862-12-31",2.16,3.26,2.16,3.24,NA
"75","1863-12-31",3.29,4.55,3.29,4.55,NA
"76","1864-12-30",4.65,4.65,4.05,4.19,NA
"77","1865-12-29",4.19,4.55,3.71,4.4,NA
"78","1866-12-31",4.38,4.67,4.19,4.57,NA
"79","1867-12-31",4.56,4.76,4.21,4.72,NA
"80","1868-12-31",4.74,5.38,4.74,5.21,NA
"81","1869-12-31",5.21,5.4,4.61,4.77,NA
"82","1870-12-30",4.71,4.71,4.49,4.59,NA
"83","1871-12-29",4.61,5.01,4.61,4.9,NA
"84","1872-12-31",4.92,5.31,4.92,5.21,NA
"85","1873-12-31",5.21,5.3,4.53,4.53,NA
"86","1874-12-31",4.54,4.82,4.22,4.71,NA
"87","1875-12-31",4.71,4.75,4.49,4.49,NA
"88","1876-12-29",4.55,4.64,3.7,3.7,NA
"89","1877-12-31",3.65,3.77,2.97,3.33,NA
"90","1878-12-31",3.36,3.68,3.34,3.68,NA
"91","1879-12-31",3.69,4.83,3.59,4.83,NA
"92","1880-12-31",4.86,5.88,4.86,5.88,NA
"93","1881-12-30",5.88,6.74,5.88,6.25,NA
"94","1882-12-29",6.23,6.4,5.99,6.18,NA
"95","1883-12-31",6.16,6.16,5.53,5.53,NA
"96","1884-12-31",5.51,5.51,4.59,4.59,NA
"97","1885-12-31",4.56,5.68,4.22,5.5,NA
"98","1886-12-31",5.5,6.01,4.93,5.75,NA
"99","1887-12-30",5.73,5.95,4.94,5.26,NA
"100","1888-12-31",5.25,5.62,4.8,5.52,NA
"101","1889-12-31",5.49,5.98,5.33,5.86,NA
"102","1890-12-31",5.85,6.37,4.72,5.03,NA
"103","1891-12-31",5.1,5.95,4.99,5.92,NA
"104","1892-12-30",5.96,6.15,5.43,5.53,NA
"105","1893-12-29",5.49,5.75,3.53,4.17,NA
"106","1894-12-31",4.12,4.68,4.12,4.15,NA
"107","1895-12-31",4.1,5.18,3.94,4.24,NA
"108","1896-12-31",4.21,4.66,3.29,4.22,NA
"109","1897-12-31",4.26,5.62,3.98,5.14,NA
"110","1898-12-30",5.11,6.22,4.54,6.22,NA
"111","1899-12-29",6.22,7.41,6.02,6.56,NA
"112","1900-12-31",6.69,7.68,5.88,7.68,NA
"113","1901-12-31",7.66,9.2,7.4,8.58,NA
"114","1902-12-31",8.63,9.48,8.32,8.8,NA
"115","1903-12-31",8.83,9,6.42,7.14,NA
"116","1904-12-30",6.97,9.13,6.66,8.9,NA
"117","1905-12-29",8.98,10.7,8.79,10.67,NA
"118","1906-12-31",10.63,11.18,9.62,10.42,NA
"119","1907-12-31",10.42,10.6,6.33,6.93,NA
"120","1908-12-31",7.02,9.61,6.78,9.6,NA
"121","1909-12-31",9.65,10.84,9.05,10.61,NA
"122","1910-12-30",10.53,10.56,8.37,9.1,NA
"123","1911-12-29",9.19,9.82,8.6,9.27,NA
"124","1912-12-31",9.3,10.1,9.12,9.48,NA
"125","1913-12-31",9.54,9.57,8.04,8.44,NA
"126","1914-12-31",8.43,8.89,7.33,7.47,NA
"127","1915-12-31",7.46,10.78,7.41,10.7,NA
"128","1916-12-29",10.67,11.32,9.5,10.34,NA
"129","1917-12-31",10.41,10.58,7.06,7.96,NA
"130","1918-12-31",8.06,9.34,7.78,8.6,NA
"131","1919-12-31",8.62,10.41,8.3,9.43,NA
"132","1920-12-31",9.52,9.62,7.05,7.64,NA
"133","1921-12-30",7.67,8.04,6.73,8.02,NA
"134","1922-12-29",7.87,10.16,7.86,9.54,NA
"135","1923-12-31",9.55,10.08,8.44,9.11,NA
"136","1924-12-31",9.11,11.3,8.76,11.3,NA
"137","1925-12-31",11.38,13.92,10.74,13.92,NA
"138","1926-12-31",14.03,14.93,12.27,14.36,NA
"139","1927-12-30",14.21,17.79,14.08,17.7,NA
"140","1928-12-31",17.76,24.75,16.95,24.35,NA
"141","1929-12-31",24.27,32.24,17.37,21.45,NA
"142","1930-12-31",21.55,26.26,14.1,15.34,NA
"143","1931-12-31",15.36,18.53,7.51,8.12,NA
"144","1932-12-30",8.17,9.42,4.27,6.89,NA
"145","1933-12-29",6.9,12.4,5.41,10.1,NA
"146","1934-12-31",10.06,11.94,8.27,9.5,NA
"147","1935-12-31",9.46,13.53,8.04,13.43,NA
"148","1936-12-31",13.4,17.8,13.27,17.18,NA
